Name,Address,Lat,Long,Styrofoam containers?,Plastic Straws?,Individual Packaged Condiments,Recycled/compostable Items?,
la Madeleine French Bakery & Café Sunset Valley,"5493 Brodie Ln, Sunset Valley, TX 78745",30.2296154,-97.8195869,,,,,"Beverage containers, Straws"
Cafe Express,"1422 W Gray St, Houston, TX 77019",29.7535843,-95.3994502,,,TRUE,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out, They ONLY use plastic disposable beverage containers- for dining in the restaurant and for take out."
Platypus Brewing,"1902 Washington Ave suite e, Houston, TX 77007",29.768051,-95.3775152,,,,,Containers for left overs or take out
bellagreen,"2305 West Alabama Street SteR2, Houston, TX 77098",29.7382312,-95.4153755,,,,,"Containers for left overs or take out, Utensils for left overs or take out, Some take out is paper"
Tiny's No. 5,"3636 Rice Boulevard, West University Place, TX 77005",29.7172369,-95.4334791,,,,,"Straws, Containers for left overs or take out"
Restrospect Coffee Bar,"3709 La Branch St, Houston, TX 77004",29.7353569,-95.3754197,,,,,"Straws, Utensils, Utensils for left overs or take out"
Hunan's Restaurant,"3835 Bellaire Blvd, Houston, TX 77025",29.7053693,-95.4381231,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Chipotle MexicanGrill,"13313 FM 1960, Houston, TX 77065",29.9158626,-95.6165062,,,,,Utensils for left overs or take out
Paulie's,"1834 Westheimer Rd, Houston, TX 77018",29.7428911,-95.4061049,,,,,"Straws, Utensils, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Cafe Express,"1422 W Gray St, Houston, TX 77019",29.7535843,-95.3994502,,,,,"Beverage containers, Straws"
La Trattoria Tuscano,"4223 Research Forest Dr # 950, Spring, TX 77381",30.1814913,-95.4859556,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Mellow Mushroom,"16000 Stuebner Airline Rd, Spring, TX 77379",30.0120034,-95.5147389,,,,,Straws
Common Bond Café & Bakery,"1706 Westheimer Rd, Houston, TX 77006",29.7429809,-95.40232,,,,,"Beverage containers, Straws"
Balls Out Burger,"3531, 1603 N Durham Dr, Houston, TX 77008",29.7998535,-95.4120976,,,,,"Straws, Plates or serving containers, Utensils"
The Dunlavy & The Kitchen at The Dunlavy,"3422 Allen Pkwy, Houston, TX 77019",29.7611493,-95.401866,,,,,"Beverage containers, Straws, 1/2 oz containers for marmalaide"
P.F. Chang's,"4094 Westheimer Rd, Houston, TX 77027",29.7424473,-95.4478879,,,,,"Straws, Bags for left overs or take out, fortune cookes in plastic"
Buca di Beppo Italian Restaurant,"5192 Buffalo Speedway, Houston, TX 77005",29.7269492,-95.42832,,,,,"Straws, Bags for left overs or take out, Utensils for left overs or take out"
rise nº2,"1700 Post Oak Blvd #290, Houston, TX 77056",29.7493446,-95.4622183,,,,,"Straws, Plates or serving containers"
Salata,"3651 Weslayan St #216, Houston, TX 77027",29.7338556,-95.4409856,,,,,"Beverage containers, Straws, Utensils, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Goode Company BBQ,"8865 Six Pines Dr Suite 100, Shenandoah, TX 77380",30.1758584,-95.4608875,,,,,"Beverage containers, Straws, Containers for left overs or take out"
Johnny Tamale Cantina,"4647 East Sam Houston Pkwy S, Pasadena, TX 77505",29.6396242,-95.1590507,,,,,"Straws, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
The Brisket House,"5775 Woodway Dr, Houston, TX 77057",29.7599509,-95.4823678,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Fadi's Meyerland Mediterranean Grill,"4738 Beechnut St, Houston, TX 77096",29.6896366,-95.4602653,,,,,"Containers for left overs or take out, Bags for left overs or take out"
Jenni's Noodle House,"3111 S Shepherd Dr, Houston, TX 77098",29.7381472,-95.4103748,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Osaka Izakaya,"2802 S Shepherd Dr, Houston, TX 77098",29.7403729,-95.4110396,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Escalante's Mexican Restaurant,"Two Hughes Landing, 1900 Hughes Landing Blvd #100, The Woodlands, TX 77380",30.1709619,-95.4712845,,,,,"Containers for left overs or take out, The bottom part of the take-out container was ""compostable in commercial facilities only."" The top (lid) was single use plastic."
Pei Wei,"14008 Memorial Dr Suite A, Houston, TX 77079",29.7714944,-95.590547,,,,,"Beverage containers, Straws"
Café Caspian,"12126 Westheimer Rd # 100, Houston, TX 77077",29.7371961,-95.5945934,,,,,"Containers for left overs or take out, Bags for left overs or take out"
Hopdoddy Burger Bar,"5510 Morningside Dr #100, Houston, TX 77005",29.7156773,-95.415351,,,,,"Beverage containers, Straws"
Goode Company Seafood,"2621 Westpark Dr, Houston, TX 77098",29.728285,-95.4203423,,,,,Straws
Saltgrass Steak House,"215 Kipp Ave, Kemah, TX 77565",29.5472695,-95.0200347,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Miss Saigon Cafe,"1421 Richmond Ave, Houston, TX 77006",29.7340676,-95.3984287,,,,,"Containers for left overs or take out, Bags for left overs or take out, condiment container for take out"
Starbucks,"13914 Galveston Rd #100, Webster, TX 77598",29.5783152,-95.1570745,,,,,"Stirrers, green cup stirrers and cup lids!!"
Tai Li Chinese Restaurant,"7948 FM 1960, Humble, TX 77346",30.0022178,-95.1533663,,,,,"Sides containers, Condiments containers, Bags for left overs or take out, Utensils for left overs or take out"
Fix Coffeebar,"415 Westheimer Rd #101, Houston, TX 77006",29.7442412,-95.3868592,,,,,"Beverage containers, Straws"
Hyunh Restaurant,"912 St Emanuel St, Houston, TX 77003",29.7516754,-95.3556297,,,,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out"
Presidio,"911 W 11th St, Houston, TX 77008",29.7907294,-95.406688,,,,,Straws
Tarka Indian Kitchen,"721 W 19th St #7, Houston, TX 77008",29.8030045,-95.4111157,,,,,"Beverage containers, Straws"
Niko Niko's,"2520 Montrose Blvd, Houston, TX 77006",29.7464826,-95.3921964,,,,,"Beverage containers, Straws, Utensils, Condiments containers"
Cavo Coffee,"3773 Richmond Ave #1F, Houston, TX 77046",29.7324177,-95.4372501,,,,,"Beverage containers, Straws, Utensils"
Edison & Patton,"4203 Edison St, Houston, TX 77009",29.7984211,-95.3630626,,,,,"Straws, Containers for left overs or take out"
Spanish Flowers Mexican Restaurant,"4410, 4701 N Main St, Houston, TX 77009",29.7970923,-95.3819315,,,,,Containers for left overs or take out
Red Robin,"18800 Gulf Fwy, Friendswood, TX 77546",29.5471536,-95.1495489,,,,,"Straws, Condiments containers, Containers for left overs or take out"
A 2nd Cup,"1111 E 11th St, Houston, TX 77009",29.7910813,-95.3867161,,,,,"Beverage containers, Straws"
Blue Nile Ethiopian,"3030 Audley St, Houston, TX 77098",29.7375934,-95.4265625,,,,,Straws
Corner Bakery Cafe,"107 Yale St Ste. 100, Houston, TX 77007",29.7726382,-95.3989044,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers"
Beet Box Blend Bar,"1909 W Gray St B, Houston, TX 77019",29.752679,-95.4031279,,,,,Plates or serving containers
Boston Market,"1915 W Gray St, Houston, TX 77019",29.7526756,-95.4032745,,,,,"Beverage containers, Straws, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Panera Bread,"1705 W Gray St, Houston, TX 77019",29.7529705,-95.4012793,,,,,"Beverage containers, Straws, Containers for left overs or take out, Utensils for left overs or take out"
Smashburger,"174 Yale St, Houston, TX 77007",29.773657,-95.3982499,,,,,Straws
Time for Thai- TMC,"6550 Bertner Ave, Houston, TX 77030",29.7095071,-95.3976386,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Mint Thai Kitchen,"540 Waugh Dr A, Houston, TX 77019",29.7601874,-95.3986191,,,,,"Straws, Containers for left overs or take out"
"Snooze, an A.M. Eatery","3217 Montrose Blvd #100, Houston, TX 77006",29.7440024,-95.3909796,,,,,"Beverage containers, Straws"
Fadi´s Mediterranean Grill,"12360 Westheimer Rd suite a, Houston, TX 77077",29.736676,-95.6005037,,,,,Utensils for left overs or take out
Life Café,"815 Town & Country Ln, Houston, TX 77024",29.781014,-95.560046,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out, Everything! Even the decoration"
Seiwa Market,"1801 S Dairy Ashford Rd #116, Houston, TX 77077",29.7469039,-95.6049779,,,,,"Beverage containers, Plates or serving containers, Sides containers, Containers for left overs or take out, Bags for left overs or take out"
Hibachi Grill & Buffet,"12183 Katy Fwy H, Houston, TX 77079",29.7831128,-95.6016941,,,,,"Straws, but only when asked for"
Burger-chan,"5 Greenway Plaza C-630, Houston, TX 77046",29.7306564,-95.4318419,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Luna Pizzeria,"3435 Kirby Dr, Houston, TX 77098",29.7351193,-95.4177819,,,,,"Sides containers, Bags for left overs or take out, Utensils for left overs or take out"
Calliope's,"7590 W Bellfort St, Houston, TX 77071",29.6564126,-95.5106341,,,,,"Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
